Harvard Book Store,1256 Massachusetts Ave.,Harvard Square,Cambridge ,,,
Harvard Coop,1400 Massachusetts Ave.,Harvard Square,Cambridge ,,,
Harvard Dance Center,66 Garden St., Avon Hill neighborhood near Harvard Square,Cambridge ,,,
Harvard-Epworth United Methodist Church,1555 Massachusetts Ave.,Harvard Square,Cambridge ,,,
Harvard Film Archive at The Carpenter Center,24 Quincy St.,Harvard Square,Cambridge ,,,
Harvard Museum of Natural History,26 Oxford St., Baldwin neighborhood near Harvard Square,Cambridge ,,,
Harvard Memorial Church,1 Harvard Yard,Harvard Square,Cambridge ,,,
Harvard Science Center,1 Oxford St.,near Harvard Square,Cambridge,,,
Harvard Semitic Museum,6 Divinity Ave., Baldwin neighborhood near Harvard Square,Cambridge ,,,
Harvard-Smithsonian Center for Astrophysics,60 Garden St.,Neighborhood 9 near Harvard Square,Cambridge ,,,
Harvard Square,Cambridge,,,,,
Havurat Shalom,113 College Ave.,Powder House Square,Somerville,,,
High Energy Vintage,429 Somerville Ave.,near Union Square in Somerville,,,,
History Cambridge’s Hooper-Lee-Nichols House,159 Brattle St.,West Cambridge,,,,
Hodgkins-Curtin Park,Holland Street,between Davis and Teele squares,Somerville,,,
Houghton Library,at Quincy and Harvard streets in Harvard Yard,Cambridge ,,,,
Hoyt Field (Gilmore and Montague streets off Western Avenue),Riverside,Cambridge ,,,,
Hoyt-Sullivan Playground,117 Central St.,Winter Hill,,,,
Hub Comics,19 Bow St.,Union Square,Somerville,,,
Hubba Hubba,2 Ellery St.,Mid-Cambridge,,,,
Humanist Hub,the fourth floor of 30 JFK St.,Harvard Square,Cambridge ,,,
Hurley Street Neighborhood Farm,213 Hurley St.,East Cambridge,,,,
Hutchins Center,104 Mount Auburn St.,Harvard Square,Cambridge ,,,
Hyatt Regency Cambridge,575 Memorial Drive, MIT/Area II neighborhood,Cambridge ,,,
Independent,75 Union Square,Somerville,,,,
Industry Lab,288 Norfolk St.,near Inman Square,Cambridge ,,,
Massachusetts Institute of Technology’s Infinite Corridor,starting at 77 Massachusetts Ave.,Area II,Cambridge,,,
Inside Out Gallery,1 Davis Square,Somerville ,,,,
José Mateo Ballet Theatre,400 Harvard St.,Harvard Square,Cambridge ,,,
Joy Street Studios,86 Joy St.,Inner Belt,Somerville,,,
Jill Brown-Rhone Park,near Central Square,Cambridge ,,,,
Joan Lorentz Park at 441 Broadway,Mid-Cambridge (in front of the Cambridge Main Library),,,,,
John A. Ahern Field,104 Fulkerson St.,at the Kennedy-Longfellow School tot lot,East Cambridge,,,
John F. Kennedy School,5 Cherry St.,near Porter Square in Spring Hill,Somerville,,,
Massachusetts Institute of Technology’s Building W34,also known as the Johnson Athletics Center,120 Vassar St., MIT/Area II neighborhood,Cambridge ,,
Juliet,257 Washington St.,Somerville,,,,
Jungle,6 Sanborn Court,Union Square,Somerville,,,
Katherine Small Gallery,108 Beacon St.,Ward 2,Somerville,,,
Kendall Center,90 Broadway,Kendall Square,Cambridge ,,,
Kendall/MIT Open Space at 292 Main St.,Kendall Square,Cambridge,,,,
Kennedy-Longfellow School,158 Spring St.,East Cambridge,,,,
Kiddie Academy of Cambridge,299 Prospect St.,Inman Square,Cambridge ,,,
Killian Court  Maclaurin Buildings,222 Memorial Drive,Massachusetts Institute of Technology,Cambridge ,,,
Killian Hall in the Hayden Library,160 Memorial Drive,Massachusetts Institute of Technology,Cambridge ,,,
Kimpton Marlowe Hotel,25 Edwin H. Land Blvd.,,East Cambridge,,,
King Open/Cambridge Street Upper School & Community Complex,840 Cambridge St.,Wellington-Harrington,Cambridge ,,,
King Open School,850 Cambridge St.,Wellington-Harrington,Cambridge ,,,
Knafel Center,10 Garden St.,Harvard Square,Cambridge,,,
Massachusetts Institute of Technology’s Kresge Auditorium,48 Massachusetts Ave.,,Cambridge ,,,
Massachusetts Institute of Technology’s Kresge Little Theater in Kresge Auditorium,48 Massachusetts Ave.,,Cambridge,,,
Massachusetts Institute of Technology’s Kresge Oval,70 Massachusetts Ave.,,Cambridge,,,
La Fabrica Central,450 Massachusetts Ave.,Central Square,Cambridge ,,,
Lafayette Square,900 Main St.,at the south end of Central Square,Cambridge ,,,
Lamont Library,11 Quincy St. in Harvard Yard,Harvard Square,Cambridge ,,,
Lamplighter Brewing,284 Broadway,The Port,Cambridge ,,,
Lamplighter CX,110 N. First St.,North Point,Cambridge,,,
Landmark Kendall Square Cinema,355 Binney St.,,Cambridge,,,
Lechmere Canal Park,,,East Cambridge,,,
Lilypad,1353 Cambridge St.,Inman Square,Cambridge,,,
Lincoln Institute of Land Policy,113 Brattle St.,,West Cambridge,,,
Lincoln Park at the Albert F. Argenziano School,290 Washington St.,Ward 2,Somerville,,,
Linde Music Building,also known as the Massachusetts Institute of Technology’s Building W18, 201 Amherst St.,Cambridge,,,
List Visual Arts Center,20 Ames St.,Kendall Square,Cambridge ,,,
Lizard Lounge,1667 Massachusetts Ave., Baldwin neighborhood between Harvard and Porter squares,Cambridge ,,,
Loeb Experimental Theater,64 Brattle St.,Harvard Square,Cambridge ,,,
Loeb Mainstage,64 Brattle St.,Harvard Square,Cambridge ,,,
Longfellow House and the Washington’s Headquarters National Historic Site,105 Brattle St.,,West Cambridge,,,
Longfellow Park,175 Mount Auburn St.,,West Cambridge near Harvard Square,,,
Longy School of Music,27 Garden St.,Harvard Square,Cambridge,,,
Longy School of Music’s Zabriskie House,27 Garden St.,Harvard Square,Cambridge ,,,
Lovestruck Books, 44 Brattle St.,Harvard Square,Cambridge,,,
Lesley University’s Lunder Arts Center,1801 Massachusetts Ave.,Porter Square,Cambridge ,,,
Lou Ann David Park,1060 Broadway,near Teele Square,Somerville ,,,
Harvard’s Lowell Lecture Hall,17 Kirkland St.,Harvard Square,Cambridge ,,,
Lucky Strike,325 Revolution Drive,Assembly Square,Somerville,,,
Magazine Beach Park Nature Center,at the river end of Magazine Street,,Cambridgeport,,,
Magazine Beach,at the river end of Magazine Street,,Cambridgeport,,,
ManRay,40 Prospect St.,Central Square,Cambridge ,,,
Maria L. Baldwin School,85 Oxford St., Baldwin neighborhood between Harvard and Porter squares,Cambridge ,,,
Margaret Fuller Neighborhood House,71 Cherry St.,The Port,Cambridge,,,
Marran Theater,34 Mellen St.,on Lesley University’s Doble Campus in the Baldwin neighborhood near Harvard Square,Cambridge ,,,
Masonic Lodge,1950 Massachusetts Ave.,Porter Square,Cambridge ,,,
Mass Audubon Nature Center at Magazine Beach,668 Memorial Drive,,Cambridgeport,,,
Massasoit Elks Lodge,55 Bishop Allen Drive,Central Square,Cambridge,,,
Massachusetts Institute of Technology’s Building 10-250,also known as the Maclaurin Buildings,at 222 Memorial Drive,Cambridge ,,,
Maud Morgan Arts and the Chandler Gallery,20 Sacramento St., Baldwin neighborhood near Porter Square,Cambridge,,,
Massachusetts Institute of Technology’s Media Lab,75 Amherst St.,in Area II near Kendall Square,Cambridge ,,,
Mem Tea Imports,196 Elm St.,near Davis Square,Cambridge,,,
